municipio_sem_acento|ibge7|nome_oficial
bonfinopolis de minas|3108206|Bonfinópolis de Minas
bonito de minas|3108255|Bonito de Minas
borda da mata|3108305|Borda da Mata
botelhos|3108404|Botelhos
botumirim|3108503|Botumirim
bras pires|3108701|Brás Pires
brasilandia de minas|3108552|Brasilândia de Minas
brasilia de minas|3108602|Brasília de Minas
braunas|3108800|Braúnas
brazopolis|3108909|Brazópolis
brumadinho|3109006|Brumadinho
bueno brandao|3109105|Bueno Brandão
buenopolis|3109204|Buenópolis
bugre|3109253|Bugre
buritis|3109303|Buritis
buritizeiro|3109402|Buritizeiro
cabeceira grande|3109451|Cabeceira Grande
cabo verde|3109501|Cabo Verde
cachoeira da prata|3109600|Cachoeira da Prata
cachoeira de minas|3109709|Cachoeira de Minas
cachoeira de pajeu|3102704|Cachoeira de Pajeú
cachoeira dourada|3109808|Cachoeira Dourada
caetanopolis|3109907|Caetanópolis
caete|3110004|Caeté
caiana|3110103|Caiana
cajuri|3110202|Cajuri
caldas|3110301|Caldas
camacho|3110400|Camacho
camanducaia|3110509|Camanducaia
cambui|3110608|Cambuí
cambuquira|3110707|Cambuquira
campanario|3110806|Campanário
campanha|3110905|Campanha
campestre|3111002|Campestre
campina verde|3111101|Campina Verde
campo azul|3111150|Campo Azul
campo belo|3111200|Campo Belo
campo do meio|3111309|Campo do Meio
campo florido|3111408|Campo Florido
campos altos|3111507|Campos Altos
campos gerais|3111606|Campos Gerais
cana verde|3111903|Cana Verde
canaa|3111705|Canaã
canapolis|3111804|Canápolis
candeias|3112000|Candeias
cantagalo|3112059|Cantagalo
caparao|3112109|Caparaó
capela nova|3112208|Capela Nova
capelinha|3112307|Capelinha
capetinga|3112406|Capetinga
capim branco|3112505|Capim Branco
capinopolis|3112604|Capinópolis
capitao andrade|3112653|Capitão Andrade
capitao eneas|3112703|Capitão Enéas
capitolio|3112802|Capitólio
caputira|3112901|Caputira
carai|3113008|Caraí
caranaiba|3113107|Caranaíba
carandai|3113206|Carandaí
carangola|3113305|Carangola
caratinga|3113404|Caratinga
carbonita|3113503|Carbonita
careacu|3113602|Careaçu
carlos chagas|3113701|Carlos Chagas
carmesia|3113800|Carmésia
carmo da cachoeira|3113909|Carmo da Cachoeira
carmo da mata|3114006|Carmo da Mata
carmo de minas|3114105|Carmo de Minas
carmo do cajuru|3114204|Carmo do Cajuru
carmo do paranaiba|3114303|Carmo do Paranaíba
carmo do rio claro|3114402|Carmo do Rio Claro
carmopolis de minas|3114501|Carmópolis de Minas
carneirinho|3114550|Carneirinho
carrancas|3114600|Carrancas
carvalhopolis|3114709|Carvalhópolis
carvalhos|3114808|Carvalhos
casa grande|3114907|Casa Grande
cascalho rico|3115003|Cascalho Rico
cassia|3115102|Cássia
cataguases|3115300|Cataguases
catas altas|3115359|Catas Altas
catas altas da noruega|3115409|Catas Altas da Noruega
catuji|3115458|Catuji
catuti|3115474|Catuti
caxambu|3115508|Caxambu
cedro do abaete|3115607|Cedro do Abaeté
central de minas|3115706|Central de Minas
centralina|3115805|Centralina
chacara|3115904|Chácara
chale|3116001|Chalé
chapada do norte|3116100|Chapada do Norte
chapada gaucha|3116159|Chapada Gaúcha
chiador|3116209|Chiador
cipotanea|3116308|Cipotânea
claraval|3116407|Claraval
claro dos pocoes|3116506|Claro dos Poções
claudio|3116605|Cláudio
coimbra|3116704|Coimbra
coluna|3116803|Coluna
comendador gomes|3116902|Comendador Gomes
comercinho|3117009|Comercinho
conceicao da aparecida|3117108|Conceição da Aparecida
conceicao da barra de minas|3115201|Conceição da Barra de Minas
conceicao das alagoas|3117306|Conceição das Alagoas
conceicao das pedras|3117207|Conceição das Pedras
conceicao de ipanema|3117405|Conceição de Ipanema
conceicao do mato dentro|3117504|Conceição do Mato Dentro
conceicao do para|3117603|Conceição do Pará
conceicao do rio verde|3117702|Conceição do Rio Verde
conceicao dos ouros|3117801|Conceição dos Ouros
conego marinho|3117836|Cônego Marinho
confins|3117876|Confins
congonhal|3117900|Congonhal
congonhas|3118007|Congonhas
congonhas do norte|3118106|Congonhas do Norte
conquista|3118205|Conquista
conselheiro lafaiete|3118304|Conselheiro Lafaiete
conselheiro pena|3118403|Conselheiro Pena
consolacao|3118502|Consolação
contagem|3118601|Contagem
coqueiral|3118700|Coqueiral
coracao de jesus|3118809|Coração de Jesus
cordisburgo|3118908|Cordisburgo
cordislandia|3119005|Cordislândia
corinto|3119104|Corinto
coroaci|3119203|Coroaci
coromandel|3119302|Coromandel
coronel fabriciano|3119401|Coronel Fabriciano
coronel murta|3119500|Coronel Murta
coronel pacheco|3119609|Coronel Pacheco
coronel xavier chaves|3119708|Coronel Xavier Chaves
corrego danta|3119807|Córrego Danta
corrego do bom jesus|3119906|Córrego do Bom Jesus
corrego fundo|3119955|Córrego Fundo
corrego novo|3120003|Córrego Novo
couto de magalhaes de minas|3120102|Couto de Magalhães de Minas
crisolita|3120151|Crisólita
cristais|3120201|Cristais
cristalia|3120300|Cristália
cristiano otoni|3120409|Cristiano Otoni
cristina|3120508|Cristina
crucilandia|3120607|Crucilândia
cruzeiro da fortaleza|3120706|Cruzeiro da Fortaleza
cruzilia|3120805|Cruzília
cuparaque|3120839|Cuparaque
curral de dentro|3120870|Curral de Dentro
curvelo|3120904|Curvelo
datas|3121001|Datas
delfim moreira|3121100|Delfim Moreira
delfinopolis|3121209|Delfinópolis
delta|3121258|Delta
descoberto|3121308|Descoberto
desterro de entre rios|3121407|Desterro de Entre Rios
desterro do melo|3121506|Desterro do Melo
diamantina|3121605|Diamantina
diogo de vasconcelos|3121704|Diogo de Vasconcelos
dionisio|3121803|Dionísio
divinesia|3121902|Divinésia
divino|3122009|Divino
divino das laranjeiras|3122108|Divino das Laranjeiras
divinolandia de minas|3122207|Divinolândia de Minas
divinopolis|3122306|Divinópolis
divisa alegre|3122355|Divisa Alegre
divisa nova|3122405|Divisa Nova
divisopolis|3122454|Divisópolis
dom bosco|3122470|Dom Bosco
dom cavati|3122504|Dom Cavati
dom joaquim|3122603|Dom Joaquim
dom silverio|3122702|Dom Silvério
dom vicoso|3122801|Dom Viçoso
dona euzebia|3122900|Dona Euzébia
dores de campos|3123007|Dores de Campos
dores de guanhaes|3123106|Dores de Guanhães
dores do indaia|3123205|Dores do Indaiá
dores do turvo|3123304|Dores do Turvo
doresopolis|3123403|Doresópolis
douradoquara|3123502|Douradoquara
durande|3123528|Durandé
eloi mendes|3123601|Elói Mendes
engenheiro caldas|3123700|Engenheiro Caldas
engenheiro navarro|3123809|Engenheiro Navarro
entre folhas|3123858|Entre Folhas
entre rios de minas|3123908|Entre Rios de Minas
ervalia|3124005|Ervália
esmeraldas|3124104|Esmeraldas
espera feliz|3124203|Espera Feliz
espinosa|3124302|Espinosa
espirito santo do dourado|3124401|Espírito Santo do Dourado
estiva|3124500|Estiva
estrela dalva|3124609|Estrela Dalva
estrela do indaia|3124708|Estrela do Indaiá
estrela do sul|3124807|Estrela do Sul
eugenopolis|3124906|Eugenópolis
ewbank da camara|3125002|Ewbank da Câmara
extrema|3125101|Extrema
fama|3125200|Fama
faria lemos|3125309|Faria Lemos
felicio dos santos|3125408|Felício dos Santos
felisburgo|3125606|Felisburgo
felixlandia|3125705|Felixlândia
fernandes tourinho|3125804|Fernandes Tourinho
ferros|3125903|Ferros
fervedouro|3125952|Fervedouro
florestal|3126000|Florestal
formiga|3126109|Formiga
formoso|3126208|Formoso
fortaleza de minas|3126307|Fortaleza de Minas
fortuna de minas|3126406|Fortuna de Minas
francisco badaro|3126505|Francisco Badaró
francisco dumont|3126604|Francisco Dumont
francisco sa|3126703|Francisco Sá
franciscopolis|3126752|Franciscópolis
frei gaspar|3126802|Frei Gaspar
frei inocencio|3126901|Frei Inocêncio
frei lagonegro|3126950|Frei Lagonegro
fronteira|3127008|Fronteira
fronteira dos vales|3127057|Fronteira dos Vales
fruta de leite|3127073|Fruta de Leite
frutal|3127107|Frutal
funilandia|3127206|Funilândia
galileia|3127305|Galiléia
gameleiras|3127339|Gameleiras
glaucilandia|3127354|Glaucilândia
goiabeira|3127370|Goiabeira
goiana|3127388|Goianá
goncalves|3127404|Gonçalves
gonzaga|3127503|Gonzaga
gouveia|3127602|Gouveia
governador valadares|3127701|Governador Valadares
grao mogol|3127800|Grão Mogol
grupiara|3127909|Grupiara
guanhaes|3128006|Guanhães
guape|3128105|Guapé
guaraciaba|3128204|Guaraciaba
guaraciama|3128253|Guaraciama
guaranesia|3128303|Guaranésia
guarani|3128402|Guarani
guarara|3128501|Guarará
guarda-mor|3128600|Guarda-Mor
guaxupe|3128709|Guaxupé
guidoval|3128808|Guidoval
guimarania|3128907|Guimarânia
guiricema|3129004|Guiricema
gurinhata|3129103|Gurinhatã
heliodora|3129202|Heliodora
iapu|3129301|Iapu
ibertioga|3129400|Ibertioga
ibia|3129509|Ibiá
ibiai|3129608|Ibiaí
ibiracatu|3129657|Ibiracatu
ibiraci|3129707|Ibiraci
ibirite|3129806|Ibirité
ibitiura de minas|3129905|Ibitiúra de Minas
ibituruna|3130002|Ibituruna
icarai de minas|3130051|Icaraí de Minas
igarape|3130101|Igarapé
igaratinga|3130200|Igaratinga
iguatama|3130309|Iguatama
ijaci|3130408|Ijaci
ilicinea|3130507|Ilicínea
imbe de minas|3130556|Imbé de Minas
inconfidentes|3130606|Inconfidentes
indaiabira|3130655|Indaiabira
indianopolis|3130705|Indianópolis
ingai|3130804|Ingaí
inhapim|3130903|Inhapim
inhauma|3131000|Inhaúma
inimutaba|3131109|Inimutaba
ipaba|3131158|Ipaba
ipanema|3131208|Ipanema
ipatinga|3131307|Ipatinga
ipiacu|3131406|Ipiaçu
ipuiuna|3131505|Ipuiúna
irai de minas|3131604|Iraí de Minas
itabira|3131703|Itabira
itabirinha|3131802|Itabirinha
itabirito|3131901|Itabirito
itacambira|3132008|Itacambira
itacarambi|3132107|Itacarambi
itaguara|3132206|Itaguara
itaipe|3132305|Itaipé
itajuba|3132404|Itajubá
itamarandiba|3132503|Itamarandiba
itamarati de minas|3132602|Itamarati de Minas
itambacuri|3132701|Itambacuri
itambe do mato dentro|3132800|Itambé do Mato Dentro
itamogi|3132909|Itamogi
itamonte|3133006|Itamonte
itanhandu|3133105|Itanhandu
itanhomi|3133204|Itanhomi
itaobim|3133303|Itaobim
itapagipe|3133402|Itapagipe
itapecerica|3133501|Itapecerica
itapeva|3133600|Itapeva
itatiaiucu|3133709|Itatiaiuçu
itau de minas|3133758|Itaú de Minas
itauna|3133808|Itaúna
itaverava|3133907|Itaverava
itinga|3134004|Itinga
itueta|3134103|Itueta
ituiutaba|3134202|Ituiutaba
itumirim|3134301|Itumirim
iturama|3134400|Iturama
itutinga|3134509|Itutinga
jaboticatubas|3134608|Jaboticatubas
jacinto|3134707|Jacinto
jacui|3134806|Jacuí
jacutinga|3134905|Jacutinga
jaguaracu|3135001|Jaguaraçu
jaiba|3135050|Jaíba
jampruca|3135076|Jampruca
janauba|3135100|Janaúba
januaria|3135209|Januária
japaraiba|3135308|Japaraíba
japonvar|3135357|Japonvar
jeceaba|3135407|Jeceaba
jenipapo de minas|3135456|Jenipapo de Minas
jequeri|3135506|Jequeri
jequitai|3135605|Jequitaí
jequitiba|3135704|Jequitibá
jequitinhonha|3135803|Jequitinhonha
jesuania|3135902|Jesuânia
joaima|3136009|Joaíma
joanesia|3136108|Joanésia
joao monlevade|3136207|João Monlevade
joao pinheiro|3136306|João Pinheiro
joaquim felicio|3136405|Joaquim Felício
jordania|3136504|Jordânia
jose goncalves de minas|3136520|José Gonçalves de Minas
jose raydan|3136553|José Raydan
josenopolis|3136579|Josenópolis
juatuba|3136652|Juatuba
juiz de fora|3136702|Juiz de Fora
juramento|3136801|Juramento
juruaia|3136900|Juruaia
juvenilia|3136959|Juvenília
ladainha|3137007|Ladainha
lagamar|3137106|Lagamar
lagoa da prata|3137205|Lagoa da Prata
lagoa dos patos|3137304|Lagoa dos Patos
lagoa dourada|3137403|Lagoa Dourada
lagoa formosa|3137502|Lagoa Formosa
lagoa grande|3137536|Lagoa Grande
lagoa santa|3137601|Lagoa Santa
lajinha|3137700|Lajinha
lambari|3137809|Lambari
lamim|3137908|Lamim
laranjal|3138005|Laranjal
lassance|3138104|Lassance
lavras|3138203|Lavras
leandro ferreira|3138302|Leandro Ferreira
leme do prado|3138351|Leme do Prado
leopoldina|3138401|Leopoldina
liberdade|3138500|Liberdade
lima duarte|3138609|Lima Duarte
limeira do oeste|3138625|Limeira do Oeste
lontra|3138658|Lontra
luisburgo|3138674|Luisburgo
luislandia|3138682|Luislândia
luminarias|3138708|Luminárias
luz|3138807|Luz
machacalis|3138906|Machacalis
machado|3139003|Machado
madre de deus de minas|3139102|Madre de Deus de Minas
malacacheta|3139201|Malacacheta
mamonas|3139250|Mamonas
manga|3139300|Manga
manhuacu|3139409|Manhuaçu
manhumirim|3139508|Manhumirim
mantena|3139607|Mantena
mar de espanha|3139805|Mar de Espanha
maravilhas|3139706|Maravilhas
maria da fe|3139904|Maria da Fé
mariana|3140001|Mariana
marilac|3140100|Marilac
mario campos|3140159|Mário Campos
maripa de minas|3140209|Maripá de Minas
marlieria|3140308|Marliéria
marmelopolis|3140407|Marmelópolis
martinho campos|3140506|Martinho Campos
martins soares|3140530|Martins Soares
mata verde|3140555|Mata Verde
materlandia|3140605|Materlândia
mateus leme|3140704|Mateus Leme
mathias lobato|3171501|Mathias Lobato
matias barbosa|3140803|Matias Barbosa
matias cardoso|3140852|Matias Cardoso
matipo|3140902|Matipó
mato verde|3141009|Mato Verde
matozinhos|3141108|Matozinhos
matutina|3141207|Matutina
medeiros|3141306|Medeiros
medina|3141405|Medina
mendes pimentel|3141504|Mendes Pimentel
merces|3141603|Mercês
mesquita|3141702|Mesquita
minas novas|3141801|Minas Novas
minduri|3141900|Minduri
mirabela|3142007|Mirabela
miradouro|3142106|Miradouro
mirai|3142205|Miraí
miravania|3142254|Miravânia
moeda|3142304|Moeda
moema|3142403|Moema
monjolos|3142502|Monjolos
monsenhor paulo|3142601|Monsenhor Paulo
montalvania|3142700|Montalvânia
monte alegre de minas|3142809|Monte Alegre de Minas
monte azul|3142908|Monte Azul
monte belo|3143005|Monte Belo
monte carmelo|3143104|Monte Carmelo
monte formoso|3143153|Monte Formoso
monte santo de minas|3143203|Monte Santo de Minas
monte siao|3143401|Monte Sião
montes claros|3143302|Montes Claros
montezuma|3143450|Montezuma
morada nova de minas|3143500|Morada Nova de Minas
morro da garca|3143609|Morro da Garça
morro do pilar|3143708|Morro do Pilar
munhoz|3143807|Munhoz
muriae|3143906|Muriaé
mutum|3144003|Mutum
muzambinho|3144102|Muzambinho
nacip raydan|3144201|Nacip Raydan
nanuque|3144300|Nanuque
naque|3144359|Naque
natalandia|3144375|Natalândia
natercia|3144409|Natércia
nazareno|3144508|Nazareno
nepomuceno|3144607|Nepomuceno
ninheira|3144656|Ninheira
nova belem|3144672|Nova Belém
nova era|3144706|Nova Era
nova lima|3144805|Nova Lima
nova modica|3144904|Nova Módica
nova ponte|3145000|Nova Ponte
nova porteirinha|3145059|Nova Porteirinha
nova resende|3145109|Nova Resende
nova serrana|3145208|Nova Serrana
nova uniao|3136603|Nova União
novo cruzeiro|3145307|Novo Cruzeiro
novo oriente de minas|3145356|Novo Oriente de Minas
novorizonte|3145372|Novorizonte
olaria|3145406|Olaria
olhos-d'agua|3145455|Olhos-d'Água
olimpio noronha|3145505|Olímpio Noronha
oliveira|3145604|Oliveira
oliveira fortes|3145703|Oliveira Fortes
onca de pitangui|3145802|Onça de Pitangui
oratorios|3145851|Oratórios
orizania|3145877|Orizânia
ouro branco|3145901|Ouro Branco
ouro fino|3146008|Ouro Fino
ouro preto|3146107|Ouro Preto
ouro verde de minas|3146206|Ouro Verde de Minas
padre carvalho|3146255|Padre Carvalho
padre paraiso|3146305|Padre Paraíso
pai pedro|3146552|Pai Pedro
paineiras|3146404|Paineiras
pains|3146503|Pains
paiva|3146602|Paiva
palma|3146701|Palma
palmopolis|3146750|Palmópolis
papagaios|3146909|Papagaios
para de minas|3147105|Pará de Minas
paracatu|3147006|Paracatu
paraguacu|3147204|Paraguaçu
paraisopolis|3147303|Paraisópolis
paraopeba|3147402|Paraopeba
passa quatro|3147600|Passa Quatro
passa tempo|3147709|Passa Tempo
passa vinte|3147808|Passa Vinte
passabem|3147501|Passabém
passos|3147907|Passos
patis|3147956|Patis
patos de minas|3148004|Patos de Minas
patrocinio|3148103|Patrocínio
patrocinio do muriae|3148202|Patrocínio do Muriaé
paula candido|3148301|Paula Cândido
paulistas|3148400|Paulistas
pavao|3148509|Pavão
pecanha|3148608|Peçanha
pedra azul|3148707|Pedra Azul
pedra bonita|3148756|Pedra Bonita
pedra do anta|3148806|Pedra do Anta
pedra do indaia|3148905|Pedra do Indaiá
pedra dourada|3149002|Pedra Dourada
pedralva|3149101|Pedralva
pedras de maria da cruz|3149150|Pedras de Maria da Cruz
pedrinopolis|3149200|Pedrinópolis
pedro leopoldo|3149309|Pedro Leopoldo
pedro teixeira|3149408|Pedro Teixeira
pequeri|3149507|Pequeri
pequi|3149606|Pequi
perdigao|3149705|Perdigão
perdizes|3149804|Perdizes
perdoes|3149903|Perdões
periquito|3149952|Periquito
pescador|3150000|Pescador
piau|3150109|Piau
piedade de caratinga|3150158|Piedade de Caratinga
piedade de ponte nova|3150208|Piedade de Ponte Nova
piedade do rio grande|3150307|Piedade do Rio Grande
piedade dos gerais|3150406|Piedade dos Gerais
pimenta|3150505|Pimenta
pingo-d'agua|3150539|Pingo-d'Água
pintopolis|3150570|Pintópolis
piracema|3150604|Piracema
pirajuba|3150703|Pirajuba
piranga|3150802|Piranga
pirangucu|3150901|Piranguçu
piranguinho|3151008|Piranguinho
pirapetinga|3151107|Pirapetinga
pirapora|3151206|Pirapora
pirauba|3151305|Piraúba
pitangui|3151404|Pitangui
piumhi|3151503|Piumhi
planura|3151602|Planura
poco fundo|3151701|Poço Fundo
pocos de caldas|3151800|Poços de Caldas
pocrane|3151909|Pocrane
pompeu|3152006|Pompéu
ponte nova|3152105|Ponte Nova
ponto chique|3152131|Ponto Chique
ponto dos volantes|3152170|Ponto dos Volantes
porteirinha|3152204|Porteirinha
porto firme|3152303|Porto Firme
pote|3152402|Poté
pouso alegre|3152501|Pouso Alegre
pouso alto|3152600|Pouso Alto
prados|3152709|Prados
prata|3152808|Prata
pratapolis|3152907|Pratápolis
pratinha|3153004|Pratinha
presidente bernardes|3153103|Presidente Bernardes
presidente juscelino|3153202|Presidente Juscelino
presidente kubitschek|3153301|Presidente Kubitschek
presidente olegario|3153400|Presidente Olegário
prudente de morais|3153608|Prudente de Morais
quartel geral|3153707|Quartel Geral
queluzito|3153806|Queluzito
raposos|3153905|Raposos
raul soares|3154002|Raul Soares
recreio|3154101|Recreio
reduto|3154150|Reduto
resende costa|3154200|Resende Costa
resplendor|3154309|Resplendor
ressaquinha|3154408|Ressaquinha
riachinho|3154457|Riachinho
riacho dos machados|3154507|Riacho dos Machados
ribeirao das neves|3154606|Ribeirão das Neves
ribeirao vermelho|3154705|Ribeirão Vermelho
rio acima|3154804|Rio Acima
rio casca|3154903|Rio Casca
rio do prado|3155108|Rio do Prado
rio doce|3155009|Rio Doce
rio espera|3155207|Rio Espera
rio manso|3155306|Rio Manso
rio novo|3155405|Rio Novo
rio paranaiba|3155504|Rio Paranaíba
rio pardo de minas|3155603|Rio Pardo de Minas
rio piracicaba|3155702|Rio Piracicaba
rio pomba|3155801|Rio Pomba
rio preto|3155900|Rio Preto
rio vermelho|3156007|Rio Vermelho
ritapolis|3156106|Ritápolis
rochedo de minas|3156205|Rochedo de Minas
rodeiro|3156304|Rodeiro
romaria|3156403|Romaria
rosario da limeira|3156452|Rosário da Limeira
rubelita|3156502|Rubelita
rubim|3156601|Rubim
sabara|3156700|Sabará
sabinopolis|3156809|Sabinópolis
sacramento|3156908|Sacramento
salinas|3157005|Salinas
salto da divisa|3157104|Salto da Divisa
santa barbara|3157203|Santa Bárbara
santa barbara do leste|3157252|Santa Bárbara do Leste
santa barbara do monte verde|3157278|Santa Bárbara do Monte Verde
santa barbara do tugurio|3157302|Santa Bárbara do Tugúrio
